date,"Bacon, sliced, per lb. (453.6 gm)","Bananas, per lb. (453.6 gm)","Bread, white, pan, per lb. (453.6 gm)","Chicken, fresh, whole, per lb. (453.6 gm)","Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)","Eggs, grade A, large, per doz.",Electricity per KWH,"Flour, white, all purpose, per lb. (453.6 gm)",Fuel oil #2 per gallon (3.785 liters),"Gasoline, all types, per gallon/3.785 liters","Gasoline, unleaded regular, per gallon/3.785 liters","Milk, fresh, whole, fortified, per gal. (3.8 lit)","Oranges, Navel, per lb. (453.6 gm)","Rice, white, long grain, uncooked, per lb. (453.6 gm)","Tomatoes, field grown, per lb. (453.6 gm)"
1976-01-01,,,,,,,,,,,0.605,,,,
1976-02-01,,,,,,,,,,,0.6,,,,
1976-03-01,,,,,,,,,,,0.594,,,,
1976-04-01,,,,,,,,,,,0.592,,,,
1976-05-01,,,,,,,,,,,0.6,,,,
1976-06-01,,,,,,,,,,,0.616,,,,
1976-07-01,,,,,,,,,,,0.623,,,,
1976-08-01,,,,,,,,,,,0.628,,,,
1976-09-01,,,,,,,,,,,0.63,,,,
1976-10-01,,,,,,,,,,,0.629,,,,
1976-11-01,,,,,,,,,,,0.629,,,,
1976-12-01,,,,,,,,,,,0.626,,,,
1977-01-01,,,,,,,,,,,0.627,,,,
1977-02-01,,,,,,,,,,,0.637,,,,
1977-03-01,,,,,,,,,,,0.643,,,,
1977-04-01,,,,,,,,,,,0.651,,,,
1977-05-01,,,,,,,,,,,0.659,,,,
1977-06-01,,,,,,,,,,,0.665,,,,
1977-07-01,,,,,,,,,,,0.667,,,,
1977-08-01,,,,,,,,,,,0.667,,,,
1977-09-01,,,,,,,,,,,0.666,,,,
1977-10-01,,,,,,,,,,,0.665,,,,
1977-11-01,,,,,,,,,,,0.664,,,,
1977-12-01,,,,,,,,,,,0.665,,,,
1978-01-01,,,,,,,,,,0.631,0.648,,,,
1978-02-01,,,,,,,,,,0.629,0.647,,,,
1978-03-01,,,,,,,,,,0.629,0.647,,,,
1978-04-01,,,,,,,,,,0.631,0.649,,,,
1978-05-01,,,,,,,,,,0.637,0.655,,,,
1978-06-01,,,,,,,,,,0.645,0.663,,,,
1978-07-01,,,,,,,,,,0.655,0.674,,,,
1978-08-01,,,,,,,,,,0.663,0.682,,,,
1978-09-01,,,,,,,,,,0.669,0.688,,,,
1978-10-01,,,,,,,,,,0.671,0.69,,,,
1978-11-01,,,,,,,0.046,,0.533,0.676,0.695,,,,
1978-12-01,,,,,,,0.046,,0.545,0.685,0.705,,,,
1979-01-01,,,,,,,0.046,,0.555,0.695,0.716,,,,
1979-02-01,,,,,,,0.047,,0.577,0.707,0.73,,,,
1979-03-01,,,,,,,0.047,,0.605,0.733,0.755,,,,
1979-04-01,,,,,,,0.048,,0.627,0.78,0.802,,,,
1979-05-01,,,,,,,0.049,,0.656,0.823,0.844,,,,
1979-06-01,,,,,,,0.052,,0.709,0.88,0.901,,,,
1979-07-01,,,,,,,0.053,,0.752,0.93,0.949,,,,
1979-08-01,,,,,,,0.053,,0.8,0.967,0.988,,,,
1979-09-01,,,,,,,0.053,,0.848,0.998,1.02,,,,
1979-10-01,,,,,,,0.053,,0.856,1.006,1.028,,,,
1979-11-01,,,,,,,0.051,,0.867,1.019,1.041,,,,
1979-12-01,,,,,,,0.052,,0.883,1.042,1.065,,,,
1980-01-01,1.453,0.319,0.501,0.699,3.208,0.879,0.053,0.203,0.929,1.11,1.131,,0.339,0.484,0.703
1980-02-01,1.41,0.345,0.507,0.673,3.258,0.774,0.055,0.205,0.977,1.186,1.207,,0.337,0.488,0.586
1980-03-01,1.361,0.355,0.502,0.655,3.248,0.812,0.056,0.211,1.006,1.23,1.252,,0.352,0.489,0.642
1980-04-01,1.323,0.353,0.507,0.638,3.209,0.797,0.056,0.206,1.01,1.242,1.264,,0.349,0.511,0.634
1980-05-01,1.266,0.357,0.504,0.628,3.2,0.737,0.058,0.207,1.011,1.244,1.266,,0.36,0.51,0.737
1980-06-01,1.271,0.348,0.503,0.64,3.181,0.731,0.063,0.21,1.017,1.246,1.269,,,0.521,0.745
1980-07-01,1.371,0.332,0.511,0.71,3.233,0.776,0.064,0.214,1.022,1.247,1.271,,,0.523,0.683
1980-08-01,1.469,0.335,0.507,0.751,3.23,0.907,0.064,0.215,1.021,1.243,1.267,,,0.518,0.646
1980-09-01,1.617,0.335,0.511,0.791,3.159,0.898,0.065,0.214,1.019,1.231,1.257,,,0.517,0.679
1980-10-01,1.641,0.335,0.514,0.792,3.053,0.867,0.063,0.212,1.013,1.223,1.25,,,0.519,0.764
1980-11-01,1.684,0.339,0.519,0.766,2.913,0.917,0.061,0.211,1.025,1.222,1.25,,,0.52,0.603
1980-12-01,1.711,0.349,0.519,0.76,2.818,1.031,0.062,0.211,1.066,1.231,1.258,,0.451,0.539,0.662
1981-01-01,1.668,0.343,0.531,0.749,2.777,0.943,0.063,0.217,1.15,1.269,1.298,,0.4,0.551,0.792
1981-02-01,1.638,0.366,0.533,0.759,2.595,0.924,0.064,0.222,1.26,1.353,1.382,,0.399,0.554,1.016
1981-03-01,1.596,0.377,0.538,0.755,2.557,0.875,0.065,0.224,1.29,1.388,1.417,,0.392,0.563,1.166
1981-04-01,1.53,0.377,0.519,0.734,2.562,0.904,0.066,0.225,1.28,1.381,1.412,,0.398,0.572,1.201
1981-05-01,1.548,0.379,0.525,0.706,2.538,0.836,0.067,0.227,1.267,1.37,1.4,,0.368,0.575,0.607
1981-06-01,1.601,0.369,0.523,0.717,2.517,0.852,0.071,0.228,1.259,1.362,1.391,,0.387,0.572,0.639
1981-07-01,1.665,0.341,0.521,0.767,2.512,0.86,0.073,0.228,1.251,1.353,1.382,,,0.574,0.614
1981-08-01,1.693,0.351,0.519,0.752,2.492,0.868,0.075,0.23,1.246,1.348,1.376,,,0.577,0.659
1981-09-01,1.753,0.358,0.524,0.728,2.46,0.915,0.074,0.225,1.239,1.358,1.376,,,0.567,0.604
1981-10-01,1.78,0.364,0.521,0.712,2.451,0.898,0.072,0.226,1.232,1.353,1.371,,,0.556,0.652
1981-11-01,1.766,0.355,0.527,0.702,2.408,0.943,0.071,0.221,1.235,1.351,1.369,,,0.55,0.646
1981-12-01,1.751,0.364,0.521,0.7,2.457,0.966,0.071,0.218,1.247,1.348,1.365,,0.39,0.545,0.642
1982-01-01,1.747,0.364,0.537,0.712,2.475,0.925,0.073,0.224,1.254,1.341,1.358,,0.402,0.545,0.763
1982-02-01,1.811,0.359,0.534,0.726,2.552,1.007,0.073,0.226,1.248,1.318,1.334,,0.425,0.547,0.901
1982-03-01,1.824,0.373,0.526,0.715,2.564,0.952,0.075,0.223,1.208,1.268,1.284,,0.433,0.516,0.778
1982-04-01,1.894,0.38,0.526,0.712,2.585,0.896,0.075,0.22,1.162,1.21,1.225,,0.447,0.504,0.664
1982-05-01,1.982,0.372,0.529,0.72,2.567,0.842,0.075,0.228,1.171,1.224,1.237,,,0.508,0.694
1982-06-01,2.07,0.381,0.525,0.732,2.527,0.783,0.079,0.227,1.194,1.296,1.309,,,0.499,0.869
1982-07-01,2.101,0.344,0.534,0.74,2.502,0.851,0.079,0.232,1.2,1.318,1.331,,,0.496,0.837
1982-08-01,2.2,0.332,0.534,0.717,2.515,0.778,0.079,0.227,1.195,1.31,1.323,,,0.494,0.584
1982-09-01,2.36,0.343,0.536,0.713,2.517,0.852,0.079,0.223,1.191,1.292,1.307,,,0.491,0.548
1982-10-01,2.334,0.317,0.534,0.7,2.5,0.854,0.077,0.221,1.214,1.28,1.295,,,0.488,0.633
1982-11-01,2.186,0.344,0.534,0.694,2.481,0.849,0.074,0.216,1.237,1.268,1.283,,,0.487,0.744
1982-12-01,2.128,0.337,0.537,0.682,2.501,0.813,0.075,0.216,1.229,1.244,1.26,,0.458,0.482,0.849
1983-01-01,2.123,0.332,0.541,0.689,2.528,0.821,0.075,0.217,1.194,1.214,1.23,,0.39,0.486,0.726
1983-02-01,2.147,0.352,0.544,0.699,2.519,0.794,0.075,0.214,1.16,1.17,1.187,,0.384,0.473,0.814
1983-03-01,2.072,0.357,0.544,0.698,2.478,0.836,0.076,0.211,1.101,1.135,1.152,,0.386,0.468,1.081
1983-04-01,2.003,0.416,0.538,0.676,2.466,0.825,0.075,0.213,1.07,1.198,1.215,,0.395,0.47,1.011
1983-05-01,1.951,0.438,0.542,0.687,2.459,0.865,0.077,0.216,1.089,1.243,1.259,,0.387,0.468,0.95
1983-06-01,1.91,0.449,0.542,0.699,2.47,0.825,0.081,0.223,1.087,1.261,1.277,,0.4,0.469,0.797
1983-07-01,1.918,0.462,0.544,0.724,2.454,0.847,0.082,0.223,1.083,1.272,1.288,,,0.475,0.732
1983-08-01,1.876,0.403,0.539,0.74,2.451,0.884,0.082,0.227,1.083,1.269,1.285,,,0.468,0.584
1983-09-01,1.914,0.394,0.536,0.769,2.438,0.938,0.082,0.223,1.087,1.257,1.274,,,0.475,0.621
1983-10-01,1.857,0.385,0.535,0.737,2.432,0.962,0.08,0.219,1.089,1.239,1.255,,,0.473,0.709
1983-11-01,1.773,0.327,0.547,0.766,2.454,0.996,0.077,0.217,1.086,1.224,1.241,,,0.474,0.726
1983-12-01,1.758,0.315,0.547,0.812,2.437,1.131,0.077,0.211,1.085,1.215,1.231,,0.368,0.479,0.663
1984-01-01,1.812,0.344,0.543,0.839,2.495,1.301,0.078,0.213,1.122,1.2,1.216,,0.368,0.484,0.854
1984-02-01,1.881,0.373,0.541,0.867,2.546,1.324,0.079,0.216,1.22,1.193,1.209,,0.349,0.485,0.998
1984-03-01,1.803,0.373,0.542,0.848,2.546,1.153,0.079,0.216,1.158,1.194,1.21,,0.364,0.476,0.973
1984-04-01,1.798,0.389,0.536,0.844,2.549,1.199,0.08,0.215,1.137,1.211,1.227,,0.371,0.471,0.839
1984-05-01,1.817,0.354,0.541,0.811,2.567,1.054,0.081,0.215,1.134,1.221,1.236,,0.417,0.471,0.766
1984-06-01,1.832,0.391,0.542,0.817,2.598,0.903,0.086,0.217,1.127,1.214,1.229,,,0.477,0.778
1984-07-01,1.901,0.386,0.541,0.829,2.609,0.876,0.087,0.219,1.109,1.197,1.212,,,0.484,0.692
1984-08-01,1.902,0.362,0.543,0.788,2.606,0.86,0.089,0.215,1.088,1.184,1.196,,,0.479,0.901
1984-09-01,1.889,0.35,0.539,0.79,2.617,0.854,0.084,0.212,1.081,1.189,1.203,,,0.478,0.741
1984-10-01,1.895,0.341,0.54,0.764,2.616,0.842,0.081,0.211,1.091,1.195,1.209,,,0.48,0.744
1984-11-01,1.867,0.333,0.543,0.771,2.594,0.823,0.079,0.208,1.089,1.193,1.207,,0.572,0.479,0.724
1984-12-01,1.89,0.317,0.544,0.753,2.593,0.867,0.078,0.204,1.085,1.179,1.193,,0.523,0.472,0.678
1985-01-01,1.952,0.35,0.551,0.773,2.585,0.746,0.079,0.212,1.078,1.145,1.148,,0.526,0.475,0.697
1985-02-01,1.966,0.378,0.544,0.772,2.594,0.784,0.079,0.213,1.085,1.128,1.131,,0.525,0.472,0.84
1985-03-01,1.956,0.394,0.544,0.769,2.621,0.79,0.079,0.212,1.081,1.155,1.159,,0.505,0.476,0.945
1985-04-01,1.948,0.422,0.544,0.764,2.603,0.783,0.08,0.211,1.087,1.199,1.205,,0.528,0.475,1.194
1985-05-01,1.928,0.392,0.542,0.745,2.606,0.745,0.08,0.215,1.082,1.223,1.231,,0.614,0.472,0.681
1985-06-01,1.894,0.399,0.546,0.761,2.614,0.724,0.085,0.216,1.063,1.233,1.241,,,0.467,0.624
1985-07-01,1.951,0.348,0.556,0.753,2.59,0.787,0.085,0.216,1.04,1.233,1.242,,,0.471,0.665
1985-08-01,1.96,0.361,0.553,0.757,2.564,0.789,0.085,0.216,1.024,1.222,1.229,,,0.473,0.642
1985-09-01,1.926,0.376,0.561,0.762,2.563,0.857,,0.212,,1.209,1.216,,,0.473,0.616
1985-10-01,1.945,0.346,0.566,0.749,2.573,0.86,0.082,0.211,1.068,1.198,1.204,,,0.468,0.673
1985-11-01,1.932,0.316,0.564,0.778,2.549,0.872,0.08,0.207,1.119,1.201,1.207,,,0.466,0.808
1985-12-01,1.918,0.321,0.568,0.776,2.505,0.906,0.08,0.202,1.143,1.203,1.208,,0.499,0.45,0.953
1986-01-01,1.935,0.337,0.566,0.766,2.737,0.901,0.081,0.207,1.126,1.19,1.194,,0.483,0.456,1.104
1986-02-01,1.956,0.378,0.563,0.771,3.554,0.866,0.075,0.209,1.011,1.119,1.12,,0.452,0.455,0.752
1986-03-01,1.892,0.402,0.56,0.767,3.74,0.887,0.075,0.208,0.937,0.983,0.981,,0.451,0.453,0.773
1986-04-01,1.871,0.464,0.561,0.752,3.706,0.89,0.074,0.206,0.875,0.895,0.888,,0.463,0.453,0.805
1986-05-01,1.869,0.461,0.562,0.769,3.655,0.82,0.074,0.211,0.83,0.927,0.923,,0.499,0.451,0.879
1986-06-01,1.953,0.376,0.569,0.795,3.646,0.795,0.08,0.214,0.806,0.958,0.955,,,0.446,0.802
1986-07-01,2.157,0.371,0.564,0.889,3.594,0.833,0.08,0.214,0.751,0.895,0.89,,,0.453,0.737
1986-08-01,2.332,0.369,0.57,0.958,3.462,0.913,0.08,0.215,0.726,0.848,0.843,,,0.443,0.686
1986-09-01,2.373,0.384,0.566,0.91,3.315,0.868,0.08,0.211,0.736,0.864,0.86,,,0.434,0.674
1986-10-01,2.298,0.372,0.565,0.9,3.269,0.855,0.074,0.208,0.733,0.837,0.831,,,0.436,0.811
1986-11-01,2.187,0.371,0.564,0.878,3.268,0.897,0.073,0.2,0.733,0.827,0.821,,0.519,0.432,0.919
1986-12-01,2.159,0.333,0.566,0.865,3.247,0.91,0.073,0.198,0.75,0.83,0.823,,0.498,0.434,0.943
1987-01-01,2.118,,0.544,0.821,3.192,0.862,0.075,0.202,0.817,0.868,0.862,,,0.416,
1987-02-01,2.091,,0.539,0.832,3.087,0.823,0.076,0.211,0.851,0.911,0.905,,,0.411,
1987-03-01,2.095,0.376,0.541,0.804,2.96,0.8,0.076,0.202,0.843,0.918,0.912,,0.499,0.394,0.76
1987-04-01,2.076,0.381,0.542,0.792,2.865,0.786,0.076,0.202,0.843,0.94,0.934,,0.491,0.398,0.82
1987-05-01,2.112,0.357,0.54,0.782,2.777,0.763,0.076,0.208,0.839,0.948,0.941,,0.529,0.395,0.788
1987-06-01,2.126,0.39,0.533,0.771,2.737,0.711,0.084,0.208,0.841,0.966,0.958,,,0.393,0.883
1987-07-01,2.231,0.35,0.544,0.755,2.709,0.763,0.084,0.213,0.842,0.98,0.971,,,0.391,0.816
1987-08-01,2.284,0.367,0.546,0.785,2.636,0.73,0.085,0.211,0.85,1.004,0.995,,,0.403,0.664
1987-09-01,2.28,0.363,0.551,0.793,2.654,0.837,0.084,0.207,0.852,1,0.99,,,0.395,0.735
1987-10-01,2.193,0.346,0.559,0.791,2.67,0.778,0.078,0.203,0.863,0.988,0.976,,,0.395,0.777
1987-11-01,2.071,0.343,0.559,0.756,2.581,0.805,0.077,0.2,0.888,0.987,0.976,,0.678,0.405,0.992
1987-12-01,2.02,0.375,0.571,0.736,2.553,0.733,0.077,0.198,0.889,0.975,0.961,,0.519,0.422,0.996
1988-01-01,1.954,0.374,0.586,0.74,2.635,0.76,0.078,0.202,0.89,0.947,0.933,,0.501,0.446,0.871
1988-02-01,1.94,0.415,0.586,0.745,2.665,0.718,0.078,0.199,0.888,0.928,0.913,,0.496,0.462,0.856
1988-03-01,1.919,0.413,0.587,0.753,2.634,0.74,0.078,0.202,0.881,0.92,0.904,,0.496,0.468,0.744
1988-04-01,1.907,0.423,0.595,0.76,2.699,0.719,0.077,0.199,0.876,0.946,0.93,,0.504,0.488,0.902
1988-05-01,1.9,0.422,0.598,0.796,2.729,0.678,0.077,0.208,0.874,0.97,0.955,,0.599,0.497,0.859
1988-06-01,1.904,0.501,0.601,0.868,2.735,0.705,0.084,0.21,0.862,0.971,0.955,,,0.492,0.765
1988-07-01,1.908,0.433,0.602,0.937,2.784,0.803,0.084,0.215,0.832,0.984,0.967,,,0.507,0.798
1988-08-01,1.879,0.397,0.619,0.961,2.834,0.909,0.084,0.227,0.822,1.004,0.987,,,0.506,0.819
1988-09-01,1.835,0.389,0.636,0.975,2.84,0.874,0.084,0.233,0.817,0.992,0.974,,,0.503,0.874
1988-10-01,1.86,0.421,0.642,0.932,2.855,0.896,0.08,0.231,0.79,0.976,0.957,,,0.475,0.853
1988-11-01,1.802,0.423,0.645,0.892,2.892,0.839,0.078,0.22,0.798,0.972,0.949,,,0.485,0.856
1988-12-01,1.792,0.407,0.657,0.885,2.925,0.833,0.078,0.223,0.826,0.953,0.93,,0.562,0.484,0.812
1989-01-01,1.805,0.394,0.653,0.905,2.964,0.941,0.079,0.228,0.883,0.944,0.918,,0.521,0.489,0.797
1989-02-01,1.799,0.415,0.652,0.899,3.052,0.89,0.079,0.233,0.888,0.955,0.926,,0.464,0.495,1.051
1989-03-01,1.787,0.45,0.654,0.913,3.039,1.031,0.079,0.234,0.891,0.974,0.94,,0.471,0.488,0.891
1989-04-01,1.747,0.523,0.655,0.932,3.115,0.997,0.079,0.238,0.904,1.098,1.065,,0.511,0.482,0.97
1989-05-01,1.68,0.522,0.655,0.961,3.163,0.956,0.08,0.241,0.887,1.152,1.119,,0.534,0.485,1.323
1989-06-01,1.692,0.479,0.664,0.982,3.167,0.937,0.086,0.246,0.867,1.15,1.114,,,0.486,0.873
1989-07-01,1.71,0.456,0.671,0.964,3.225,0.961,0.086,0.254,0.857,1.132,1.092,,,0.514,0.847
1989-08-01,1.721,0.434,0.674,0.954,3.171,0.983,0.086,0.258,0.846,1.096,1.057,,,0.509,0.797
1989-09-01,1.716,0.428,0.671,0.942,3.098,1.038,0.086,0.256,0.85,1.073,1.029,,,0.52,0.777
1989-10-01,1.768,0.432,0.674,0.91,3.038,1.023,0.081,0.255,0.887,1.071,1.027,,,0.513,0.836
1989-11-01,1.82,0.435,0.676,0.879,2.903,1.08,0.08,0.248,0.913,1.046,0.999,,0.585,0.497,0.884
1989-12-01,1.956,0.416,0.688,0.883,2.937,1.137,0.081,0.244,0.978,1.03,0.98,,0.528,0.504,0.898
1990-01-01,1.966,0.429,0.689,0.882,2.917,1.223,0.081,0.253,1.259,1.09,1.042,,0.501,0.501,1.735
1990-02-01,2.009,0.492,0.701,0.896,2.965,1.041,0.081,0.249,1.023,1.086,1.037,,0.58,0.476,2.361
1990-03-01,1.991,0.5,0.68,0.928,2.891,1.111,0.081,0.252,0.987,1.076,1.023,,0.57,0.502,1.765
1990-04-01,1.979,0.481,0.686,0.897,2.885,1.092,0.082,0.251,0.968,1.096,1.044,,0.56,0.497,0.732
1990-05-01,2.044,0.462,0.678,0.902,2.938,0.94,0.082,0.254,0.952,1.114,1.061,,0.578,0.496,0.697
1990-06-01,2.147,0.447,0.687,0.928,2.977,0.93,0.088,0.259,0.909,1.14,1.088,,0.621,0.494,0.792
1990-07-01,2.21,0.529,0.685,0.917,3.054,0.899,0.087,0.26,0.88,1.139,1.084,,,0.494,0.777
1990-08-01,2.243,0.463,0.713,0.912,3.027,0.954,0.087,0.255,0.998,1.246,1.19,,,0.497,0.765
1990-09-01,2.176,0.465,0.7,0.907,3.025,0.946,0.088,0.249,1.165,1.347,1.294,,,0.505,0.773
1990-10-01,2.208,0.432,0.706,0.883,3.03,1.012,0.083,0.244,1.33,1.431,1.378,,,0.497,0.846
1990-11-01,2.242,0.429,0.71,0.88,2.945,1.018,0.082,0.235,1.305,1.432,1.377,,0.585,0.507,0.862
1990-12-01,2.283,0.43,0.7,0.858,2.941,1.001,0.082,0.236,1.273,1.41,1.354,,0.563,0.491,0.858
1991-01-01,2.257,0.438,0.705,0.886,2.945,1.106,0.084,0.244,1.235,1.304,1.247,,0.823,0.494,0.912
1991-02-01,2.301,0.485,0.701,0.903,2.971,0.987,0.084,0.235,1.17,1.198,1.143,,0.93,0.492,0.84
1991-03-01,2.318,0.577,0.702,0.899,2.894,1.069,0.085,0.235,1.086,1.138,1.082,,,0.498,0.948
1991-04-01,2.271,0.547,0.701,0.885,2.924,1.002,0.084,0.237,1.016,1.159,1.104,,,0.502,1.21
1991-05-01,2.311,0.584,0.705,0.883,2.879,0.908,0.085,0.235,0.968,1.209,1.156,,,0.502,1.457
1991-06-01,2.305,0.532,0.705,0.878,2.866,0.884,0.09,0.237,0.945,1.214,1.16,,,0.506,1.672
1991-07-01,2.309,0.516,0.7,0.888,2.805,0.966,0.091,0.239,0.926,1.185,1.127,,,0.503,1.166
1991-08-01,2.219,0.416,0.714,0.869,2.724,1.024,0.09,0.238,0.927,1.196,1.14,,,0.494,0.795
1991-09-01,2.16,0.432,0.717,0.874,2.692,0.987,0.091,0.232,0.942,1.199,1.143,,,0.506,0.759
1991-10-01,2.121,0.395,0.72,0.878,2.706,0.976,0.087,0.23,0.966,1.18,1.122,,,0.508,0.714
1991-11-01,2.071,0.431,0.731,0.857,2.673,0.95,0.084,0.218,1.02,1.193,1.134,,0.731,0.517,0.813
1991-12-01,1.994,0.419,0.717,0.864,2.625,1.012,0.085,0.223,1.017,1.182,1.123,,0.652,0.51,0.793
1992-01-01,1.957,0.428,0.726,0.878,2.668,0.933,0.085,0.241,0.985,1.135,1.073,,0.643,0.516,0.936
1992-02-01,1.954,0.493,0.73,0.849,2.688,0.881,0.084,0.244,0.975,1.117,1.054,,0.616,0.515,1.43
1992-03-01,1.922,0.517,0.747,0.859,2.631,0.85,0.086,0.239,0.961,1.122,1.058,,0.563,0.515,1.729
1992-04-01,1.915,0.484,0.746,0.861,2.612,0.829,0.086,0.238,0.951,1.143,1.079,,0.537,0.522,1.623
1992-05-01,1.904,0.445,0.752,0.854,2.66,0.836,0.087,0.245,0.952,1.197,1.136,,0.573,0.524,0.828
1992-06-01,1.926,0.463,0.757,0.861,2.625,0.801,0.092,0.244,0.954,1.239,1.179,,,0.52,0.747
1992-07-01,1.937,0.431,0.771,0.878,2.645,0.827,0.092,0.252,0.947,1.237,1.174,,,0.54,0.801
